Water-Level(Inches),Date-Time
0.0,2021-12-01 12:14:11.592436
0.1,2021-12-02 12:14:12.594898
0.4,2021-12-03 12:14:13.597929
0.5,2021-12-04 12:14:14.601325
0.7,2021-12-05 12:14:15.604450
0.8,2021-12-06 12:14:16.607517
0.8,2021-12-07 12:14:17.610702
0.8,2021-12-08 12:14:18.613766
0.6,2021-12-09 12:14:19.617151
0.5,2021-12-10 12:14:20.619185
1.0,2021-12-11 12:14:11.592436
1.3,2021-12-12 12:14:12.594898
1.4,2021-12-13 12:14:13.597929
1.8,2021-12-14 12:14:14.601325
2.1,2021-12-15 12:14:15.604450
2.4,2021-12-16 12:14:16.607517
2.8,2021-12-17 12:14:17.610702
3.1,2021-12-18 12:14:18.613766
2.5,2021-12-19 12:14:19.617151
1.5,2021-12-20 12:14:20.619185
1.1,2021-12-21 12:14:11.592436
1.0,2021-12-22 12:14:12.594898
1.1,2021-12-23 12:14:13.597929
1.2,2021-12-24 12:14:14.601325
0.8,2021-12-25 12:14:15.604450
0.7,2021-12-26 12:14:16.607517
0.5,2021-12-27 12:14:17.610702
0.2,2021-12-28 12:14:18.613766
0.0,2021-12-29 12:14:19.617151
0.1,2021-12-30 12:14:20.619185
